LS,NMZ,YZ,MT
11,48,70,101
141,66,483,514
140,48,3,351
84,126,3,574
551,124,7,22
11,78,464,287
67,81,455,124
35,3,43,193
146,408,443,88
77,236,11,97
100,521,541,208
15,186,73,279
461,274,88,2
260,53,134,117
27,238,357,150
201,29,392,31
425,351,100,44
252,161,178,2
25,188,501,89
15,17,177,107
75,247,14,27
225,95,500,44
141,198,20,237
235,117,98,2
123,328,8,158
510,301,522,350
301,324,20,106
12,442,356,89
521,127,540,55
160,23,571,354
203,198,524,76
76,22,584,40
3,145,571,303
87,159,546,86
302,263,266,7
17,569,79,558
119,206,432,114
38,504,112,457
82,417,124,10
17,441,246,14
177,422,506,524
150,122,167,437
81,10,107,180
2,412,136,517
33,180,131,80
139,176,467,81
15,101,573,9
123,399,576,511
119,245,262,561
57,113,14,2
3,68,571,547
452,37,318,134
571,533,226,318
121,184,2,320
77,456,26,124
2,152,174,213
61,396,257,61
2,143,116,83
35,518,3,350
9,181,7,267
189,57,59,345
141,12,52,213
469,190,264,44
334,167,22,574
8,40,62,77
133,98,251,127
287,282,40,542
171,20,5,449
49,62,6,581
116,527,6,179
125,35,137,90
71,320,17,190
237,181,32,303
502,413,36,336
560,12,264,569
10,198,59,567
158,571,248,524
2,161,34,305
291,2,133,429
222,236,65,167
28,45,43,187
1,88,212,113
1,3,25,479
143,42,67,423
6,24,138,138
16,27,3,5
97,156,91,467
6,52,2,488
46,43,113,78
58,255,15,197
61,246,15,421
348,4,14,524
9,227,237,411
32,1,319,247
48,1,207,159
122,3,135,39
139,34,2,157
28,32,59,28
74,155,127,2
34,8,459,108
107,228,14,549
94,8,122,97
73,67,142,182
29,121,18,261
539,44,110,89
136,178,92,65
52,299,5,57
114,93,145,555
214,205,28,39
597,253,70,234
582,16,3,125
590,56,252,115
583,312,6,90
287,346,184,70
589,192,81,86
7,87,167,124
62,233,162,23
86,447,14,30
186,107,92,12
89,133,8,182
167,406,57,112
329,72,38,495
143,101,5,536
83,59,112,154
202,18,11,20
23,195,106,196
171,82,339,157
75,67,4,5
82,160,11,80
167,6,9,16
78,220,164,372
132,183,69,376
24,36,44,240
76,160,70,58
39,54,287,10
201,221,339,246
100,406,47,250
26,407,528,259
33,129,556,39
233,63,11,60
87,207,172,56
215,7,344,158
123,137,12,72
67,84,5,321
344,166,3,76
59,142,76,31
24,188,70,5
162,52,217,45
43,111,162,11
59,168,50,7
78,80,125,484
148,119,63,14
24,188,203,262
2,54,256,2
40,176,77,90
20,2,150,302
6,52,1,101
144,72,1,20
30,24,1,139
31,273,112,141
40,117,1,3
110,147,8,454
258,257,71,343
20,73,1,145
378,50,1,239
32,303,1,104
104,497,1,578
37,327,1,112
27,262,1,262
114,134,158,197
54,28,134,509
107,381,11,147
155,36,117,48
322,422,1,418
480,517,22,37
562,304,11,137
71,370,3,458
30,107,289,163
280,12,455,566
156,217,393,108
538,125,5,543
10,105,39,46
150,170,85,2
36,272,243,544
11,331,39,356
91,487,2,238
5,16,26,137
557,80,72,125
534,432,77,222
419,133,3,204
444,529,36,423
328,104,207,373
522,466,186,90
473,344,565,201
68,139,348,163
109,358,2,583
61,230,13,252
5,69,309,337
406,144,66,113
,171,558,157
,26,165,538
,214,11,45
,23,290,36
,13,62,120
,120,552,149
,358,164,376
,42,7,67
,270,57,10
,107,144,90
,180,5,30
,87,175,525
,377,103,276
,238,262,89
,117,584,43
,213,12,32
,109,411,262
,473,521,107
,165,445,344
,271,89,13
,139,106,349
,69,96,585
,474,277,377
,195,14,250
,311,459,426
,115,595,22
,153,99,540
,99,13,364
,95,91,74
,6,574,3
,142,58,256
,14,356,551
,92,583,84
,516,194,339
,315,178,192
,169,229,2
,60,12,581
,128,293,2
,159,269,159
,166,,522
,117,,204
,41,,2
,243,,131
,325,,443
,108,,412
,469,,197
,496,,481
,212,,291
,243,,26
,148,,28
,37,,71
,258,,72
,26,,241
,235,,2
,107,,125
,305,,526
,119,,270
,18,,527
,115,,449
,280,,102
,127,,2
,103,,300
,297,,25
,375,,7
,54,,173
,72,,557
,382,,585
,95,,33
,129,,52
,191,,240
,140,,576
,311,,24
,204,,2
,8,,573
,204,,4
,121,,66
,42,,30
,134,,576
,175,,278
,273,,332
,275,,444
,26,,129
,393,,78
,225,,80
,134,,59
,300,,334
,108,,94
,382,,94
,331,,2
,298,,537
,169,,4
,84,,207
,41,,46
,217,,482
,59,,57
,437,,167
,189,,424
,83,,57
,100,,35
,185,,534
,196,,227
,21,,78
,99,,14
,66,,24
,74,,281
,166,,461
,308,,579
,12,,544
,41,,194
,58,,41
,97,,253
,119,,352
,153,,179
,57,,565
,492,,550
,108,,62
,84,,576
,235,,160
,80,,103
,7,,366
,80,,394
,189,,253
,84,,263
,382,,316
,130,,328
,146,,2
,12,,162
,273,,102
,47,,102
,123,,278
,233,,141
,136,,91
,71,,53
,114,,105
,178,,199
,62,,170
,176,,301
,39,,385
,113,,502
,19,,566
,69,,138
,217,,459
,80,,134
,435,,50
,39,,469
,364,,99
,216,,84
,20,,112
,62,,58
,461,,316
,11,,149
,54,,3
,111,,562
,149,,445
,96,,13
,187,,339
,17,,475
,165,,182
,61,,18
,200,,398
,352,,505
,420,,560
,165,,458
,76,,8
,23,,83
,165,,582
,32,,323
,172,,409
,160,,515
,211,,565
,124,,154
,456,,321
,120,,331
,374,,131
,195,,149
,24,,560
,14,,512
,138,,540
,144,,199
,137,,229
,118,,316
,134,,311
,239,,555
,59,,130
,255,,24
,446,,91
,22,,504
,96,,518
,154,,140
,122,,6
,112,,63
,106,,363
,412,,269
,4,,582
,474,,2
,539,,343
,499,,98
,526,,469
,582,,435
,17,,583
,13,,576
,242,,534
,556,,576
,302,,24
,595,,372
,8,,547
,584,,580
,499,,566
,227,,576
,554,,554
,44,,281
,436,,93
,6,,566
,17,,84
,4,,217
,19,,527
,48,,79
,50,,320
,12,,553
,263,,579
,557,,526
,130,,422
,5,,181
,319,,77
,133,,397
,441,,321
,193,,580
,518,,585
,318,,479
,8,,125
,158,,134
,564,,124
,572,,559
,144,,230
,275,,63
,154,,153
,471,,118
,150,,378
,72,,220
,141,,489
,573,,2
,573,,8
,94,,2
,544,,455
,68,,384
,20,,467
,511,,196
,581,,121
,593,,560
,596,,10
,586,,564
,52,,574
,300,,528
,179,,468
,137,,574
,135,,559
,553,,317
,100,,584
,426,,579
,570,,578
,240,,439
,87,,506
,48,,36
,2,,260
,100,,374
,243,,110
,2,,539
,324,,566
,462,,461
,467,,399
,221,,36
,52,,92
,6,,15
,579,,354
,11,,6
,597,,499
,10,,541
,132,,106
,2,,439
,432,,366
,416,,269
,140,,487
,206,,537
,365,,581
,6,,124
,4,,530
,,,557
,,,149
,,,582
,,,81
,,,548
,,,241
,,,115
,,,40
,,,57
,,,4
,,,94
,,,88
,,,48
,,,45
,,,21
,,,112
,,,7
,,,18
,,,96
,,,89
,,,92
,,,28
,,,90
,,,26
,,,95
,,,88
,,,85
,,,102
,,,68
,,,90
,,,16
,,,88
,,,71
,,,13
,,,19
,,,86
,,,77
,,,80
,,,88
,,,100
,,,2
,,,87
,,,108
,,,4
,,,35
,,,78
,,,42
,,,2
,,,91
,,,94
,,,41
,,,25
,,,60
,,,86
,,,24
,,,25
,,,53
,,,87
,,,15
,,,8
,,,94
,,,100
,,,76
,,,93
,,,108
,,,9
,,,2
,,,37
,,,112
,,,31
,,,3
,,,189
,,,729
,,,214
,,,268
,,,50
,,,2
,,,786
,,,136
,,,138
,,,150
,,,108
,,,267
,,,60
,,,77
,,,294
,,,774
,,,115
,,,1696
,,,160
,,,116
,,,590
,,,1773
,,,1769
,,,719
,,,369
,,,430
,,,538
,,,18
,,,185
,,,136
,,,25
,,,142
,,,102
,,,269
,,,361
,,,183
,,,486
,,,58
,,,130
,,,30
,,,192
,,,255
,,,241
,,,24
,,,400
,,,16
,,,54
,,,45
,,,552
,,,79
,,,35
,,,450
,,,50
,,,111
,,,540
,,,110
,,,13
,,,39
,,,516
,,,203
,,,226
,,,161
,,,553
,,,513
,,,172
,,,3
,,,160
,,,17
,,,372
,,,22
,,,80
,,,4
,,,76
,,,237
,,,19
,,,2
,,,2
,,,155
,,,94
,,,94
,,,14
,,,226
,,,140
,,,155
,,,254
,,,12
,,,559
,,,85
,,,66
,,,7
,,,157
,,,160
,,,334
,,,124
,,,212
,,,132
,,,40
,,,461
,,,123
,,,186
,,,253
,,,388
,,,237
,,,295
,,,2
,,,341
,,,119
,,,438
,,,194
,,,39
,,,8
,,,567
,,,496
,,,88
,,,466
,,,205
,,,54
,,,46
,,,307
,,,145
,,,474
,,,573
,,,589
,,,128
,,,3
,,,396
,,,138
,,,106
,,,303
,,,92
,,,1
,,,355
,,,329
,,,62
,,,556
,,,424
,,,264
,,,548
,,,7
,,,518
,,,2
,,,32
,,,113
,,,458
,,,298
,,,285
,,,168
,,,25
,,,166
,,,67
,,,349
,,,142
,,,134
,,,397
,,,275
,,,67
,,,321
,,,522
,,,134
,,,9
,,,239
,,,104
,,,140
,,,165
,,,148
,,,415
,,,242
,,,403
,,,199
,,,16
,,,54
,,,461
,,,26
,,,2
,,,469
,,,585
,,,38
,,,174
,,,17
