site,duration,depth,speed,vorticity,Fr
MT,125,20.6192,0.652698,-1.59E-04,0.045915925
MT,115,20.6273,0.653804,-1.59E-04,0.045984698
MT,90,20.6723,0.658841,-1.58E-04,0.046288508
MT,70,20.7834,0.6668,-1.55E-04,0.046722304
MT,86,20.787,0.66676,-1.55E-04,0.046715456
MT,124,20.787,0.66676,-1.55E-04,0.046715456
MT,23,20.7901,0.666607,-1.54E-04,0.046701254
MT,30,20.7901,0.666607,-1.54E-04,0.046701254
MT,12,20.793,0.66642,-1.54E-04,0.046684897
MT,182,20.7955,0.666242,-1.54E-04,0.046669622
MT,112,20.7955,0.666242,-1.54E-04,0.046669622
MT,495,20.7977,0.666033,-1.54E-04,0.046652514
MT,536,20.8007,0.665639,-1.54E-04,0.046621554
MT,154,20.8023,0.665359,-1.54E-04,0.046600151
MT,20,20.8023,0.665359,-1.54E-04,0.046600151
MT,196,20.8079,0.663747,-1.53E-04,0.046480994
MT,157,20.8081,0.663614,-1.53E-04,0.046471457
MT,5,20.8083,0.661764,-1.52E-04,0.046341683
MT,80,20.8083,0.661764,-1.52E-04,0.046341683
MT,16,20.7846,0.655054,-1.52E-04,0.045897944
MT,372,20.7794,0.654182,-1.52E-04,0.04584258
MT,376,20.742,0.656267,-1.54E-04,0.046030131
MT,240,20.7456,0.656965,-1.54E-04,0.04607509
MT,58,20.799,0.661676,-1.53E-04,0.046345878
MT,10,20.799,0.661676,-1.53E-04,0.046345878
MT,246,20.8035,0.660627,-1.52E-04,0.046267398
MT,250,20.8035,0.660326,-1.52E-04,0.046246317
MT,259,20.8036,0.660207,-1.52E-04,0.046237872
MT,39,20.8036,0.660207,-1.52E-04,0.046237872
MT,60,20.8078,0.661337,-1.52E-04,0.046312337
MT,56,20.8105,0.66188,-1.52E-04,0.046347356
MT,158,20.8368,0.665682,-1.52E-04,0.04658416
MT,72,20.8817,0.668856,-1.51E-04,0.046755926
MT,321,20.8993,0.669585,-1.50E-04,0.046787173
MT,76,20.9037,0.669749,-1.50E-04,0.046793707
MT,31,20.9148,0.670605,-1.50E-04,0.046841079
MT,5,21.0571,0.685173,-1.47E-04,0.047696655
MT,45,21.1293,0.693483,-1.46E-04,0.048192586
MT,11,21.2083,0.702327,-1.44E-04,0.048716199
MT,7,21.2448,0.706211,-1.44E-04,0.048943511
MT,484,21.3222,0.714424,-1.42E-04,0.04942276
MT,14,21.3548,0.717533,-1.42E-04,0.049599933
MT,262,21.5323,0.730138,-1.37E-04,0.050262803
MT,2,21.7446,0.744803,-1.26E-04,0.051021435
MT,90,21.7796,0.747129,-1.25E-04,0.051139633
MT,302,21.8496,0.751539,-1.25E-04,0.051359021
MT,101,21.8554,0.751923,-1.25E-04,0.051378445
MT,20,21.9315,0.756516,-1.26E-04,0.05160252
MT,139,21.9671,0.758399,-1.27E-04,0.051689026
MT,141,21.9731,0.758813,-1.27E-04,0.051710181
MT,3,21.9963,0.760338,-1.28E-04,0.051786772
MT,454,22.0301,0.761819,-1.28E-04,0.051847823
MT,343,22.0354,0.762067,-1.28E-04,0.051858464
MT,145,22.1323,0.765023,-1.30E-04,0.05194553
MT,239,22.204,0.767454,-1.31E-04,0.052026392
MT,104,22.2234,0.768339,-1.32E-04,0.052063647
