site,Time,depth,speed,vorticity,Fr,porpoise_present
1,2024/1/1 00:30,9.92944,0.581458,-5.62E-05,0.058944452,0
1,2024/1/1 01:00,10.0343,0.616338,6.85E-05,0.062153039,0
1,2024/1/1 01:30,10.0944,0.607834,8.21E-05,0.061112732,0
1,2024/1/1 02:00,10.2155,0.5729,0.0001054,0.057257973,0
1,2024/1/1 02:30,10.3257,0.58296,0.0001074,0.057951672,0
1,2024/1/1 03:00,10.4025,0.588658,0.0001153,0.058301691,0
1,2024/1/1 03:30,10.4771,0.584269,0.0001261,0.057660614,0
1,2024/1/1 04:00,10.5459,0.584415,0.000132,0.057486583,0
1,2024/1/1 04:30,10.6005,0.587072,0.000138,0.057599028,0
1,2024/1/1 05:00,10.6166,0.601941,0.0001376,0.059013063,0
1,2024/1/1 05:30,10.6258,0.599189,0.0001427,0.058717827,0
1,2024/1/1 06:00,10.6361,0.599338,0.000144,0.058703983,0
1,2024/1/1 06:30,10.6436,0.600111,0.0001447,0.058758984,0
1,2024/1/1 07:00,10.6479,0.600933,0.0001452,0.058827587,0
1,2024/1/1 07:30,10.6502,0.601375,0.0001457,0.058864499,0
1,2024/1/1 08:00,10.651,0.601859,0.000146,0.058909662,0
1,2024/1/1 08:30,10.6506,0.602346,0.000146,0.058958436,0
1,2024/1/1 09:00,10.649,0.602797,0.0001461,0.059007013,0
1,2024/1/1 09:30,10.6467,0.603224,0.0001458,0.059055189,0
1,2024/1/1 10:00,10.6435,0.603688,0.0001454,0.059109498,0
1,2024/1/1 10:30,10.6399,0.604093,0.0001451,0.059159159,0
1,2024/1/1 11:00,10.6359,0.60447,0.0001447,0.059207209,0
1,2024/1/1 11:30,10.6315,0.604869,0.0001441,0.05925855,0
1,2024/1/1 12:00,10.6268,0.605249,0.0001436,0.059308889,0
1,2024/1/1 12:30,10.6219,0.60562,0.0001432,0.05935893,0
1,2024/1/1 13:00,10.6168,0.605967,0.0001425,0.059407205,0
1,2024/1/1 13:30,10.6117,0.606326,0.0001421,0.059456682,0
1,2024/1/1 14:00,10.6064,0.606668,0.0001414,0.059505081,0
1,2024/1/1 14:30,10.6011,0.607009,0.0001408,0.059553409,0
1,2024/1/1 15:00,10.5958,0.607339,0.0001402,0.059600686,0
1,2024/1/1 15:30,10.5905,0.60766,0.0001398,0.059647106,0
1,2024/1/1 16:00,10.5852,0.607969,0.0001391,0.059692376,0
1,2024/1/1 16:30,10.5799,0.608276,0.0001386,0.059737475,0
1,2024/1/1 17:00,10.5747,0.608578,0.0001381,0.059781827,0
1,2024/1/1 17:30,10.5695,0.608832,0.0001374,0.059821488,0
1,2024/1/1 18:00,10.5644,0.609151,0.0001368,0.059867277,0
1,2024/1/1 18:30,10.5594,0.609418,0.0001363,0.059907696,0
1,2024/1/1 19:00,10.5544,0.609698,0.0001358,0.059949416,0
1,2024/1/1 19:30,10.5495,0.609966,0.0001353,0.059989695,0
1,2024/1/1 20:00,10.5447,0.610235,0.0001347,0.060029809,0
1,2024/1/1 20:30,10.54,0.610504,0.0001342,0.06006966,0
1,2024/1/1 21:00,10.5353,0.610759,0.0001338,0.060108153,0
1,2024/1/1 21:30,10.5307,0.611013,0.0001332,0.060146283,0
1,2024/1/1 22:00,10.5263,0.611218,0.0001328,0.060179036,0
1,2024/1/1 22:30,10.5219,0.611454,0.0001322,0.060214858,0
1,2024/1/1 23:00,10.5176,0.611688,0.0001318,0.060250215,0
1,2024/1/1 23:30,10.5135,0.611916,0.0001314,0.060284423,0
